Garrett Lab ID,M/Z,Retention,Name,Formula,Molecular Weight,Adduct,Notes,
74839p,208.0968,8.12,N-ACETYL-L-PHENYLALANINE,C11H13NO3,207.22582,,,
IntStd1p,208.11654,7.6,"Tryptophan-2,3,3-D3",C11H9D3N2O2,207.243665,,,
124844p,208.13281,9.004,"1,3-Benzodioxolyl-N-methylbutanamine (MBDB)",C12H17NO2,207.12593,,Duffy archeology samples - Compound Discoverer,
IntStd6p,209.07329,0.72,D-Glucose 13C6,HO*CH2(*CHOH)4*CHO,,[M+Na],Cambridge Isotope Project,
152432p,209.0787,7.024,5-(Dihydroxyphenyl)-gamma-Valerolactone,C11H12O4,208.21058,,ID by Haiyan Liu,
440743p,209.0914,11.2,Formyl-5-hydroxykynurenamine,C10H12N2O3,208.08479,,Yang - lung cancer cells; HMDB; tentative (no MS/MS confirmation),
161166p,209.09207,6.162,L-KYNURENINE,C10H12N2O3,208.21388,,,
846p,209.0921,6.15,KYNURENINE,C10H12N2O3,208.21388,,,
,212.0899,9,N-BOC-L-Alanine,C8H15NO4,,M+Na,Injection Standard,
9307p,212.0917,6.04,3-METHOXY-L-TYROSINE,C10H13NO4,211.21452,,,
19241p,214.08911,11.926,N-Butylbenzenesulfonamide,C10H15NO2S,213.08235,,Duffy archeology samples - Compound Discoverer,
311p,215.01622,2.048,CITRATE,C6H8O7,192.12352,M+Na,,
1198p,215.01622,1.206,ISOCITRIC ACID,C6H8O7,192.12352,M+Na,,
6508p,215.05261,0.886,QUINATE,C7H12O6,192.16658,M+Na,,
445027p,215.139,7.67,DETHIOBIOTIN,C10H18N2O3,214.26152,,,
IntStd7p,216.13457,7.63,L-Tryptophan 13C11,(*C8H5NH)*CH2*CH(NH2)*COOH,,,Cambridge Isotope Project,
ISO-11p,217.0319,0.78,D-GLUCURONIC ACID/D-GLUCURONOLACTONE/D-(+)-GALACTURONIC ACID,C6H10O7,194.1394,M+Na,,
94214p,217.0683,0.98,METHYL BETA-D-GALACTOSIDE,C7H14O6,194.18246,M+Na,,
67427p,217.1295,1.6,N-Acetyl-Arginine ,C8H16N4O3,216.23764,,,
6490p,217.17938,12.603,Texanol,C12H24O3,216.17211,,Duffy archeology samples - Compound Discoverer,
79034p,217.1798,10.34,OMEGA-HYDROXYDODECANOIC ACID,C12H24O3,216.31716,,,
107738p,218.1392,6.63,Proprionylcarnitine,C10H19NO4,217.26216,,I.Kurland Mouse samples,
ISO-12p,219.0475,0.78,GLUCONIC ACID/D-GULONIC ACID GAMA-LACTONE,C6H12O7,196.15528,M+Na,,
903p,219.1128,7.46,N-ACETYLSEROTONIN,C12H14N2O2,218.25176,,,
6440942p,219.1745,14.332,"3,5-Di-tert-butylbenzaldehyde",C15H22O,218.16707,,Shaddox Samples - Compound Discoverer,
439406p,220.0816,1.95,O-SUCCINYL-L-HOMOSERINE,C8H13NO6,219.19192,,,
6613p,220.1179,6.3,D-PANTOTHENIC ACID,C9H17NO5,219.23498,,,
6613p,220.1179,6.6,Pantothenic Acid,C9H17NO5,219.23498,,,
144p,221.0921,6.18,5-HYDROXY-L-TRYPTOPHAN,C11H12N2O3,220.22458,,,
,221.18,0.85,Dimer of Choline,C5H13NO,,,,
,221.15693,6.68,O-Propionyl_L-carnitine:HCl ,,,,CIL Labeled Carnitine Standards Set B,
439258p,223.0747,0.71,L-CYSTATHIONINE,C7H14N2O4S,222.26206,,,
8575p,223.09599,12.44,Monobutyl phthalate,C12H14O4,222.08921,,Duffy archeology samples - Compound Discoverer,
97750p,225.0733,9.34,DIETHYL 2-METHYL-3-OXOSUCCINATE,C9H14O5,202.20446,M+Na,,
89p,225.087,3.26,3-HYDROXYKYNURENINE,C10H12N2O4,224.21328,,,
10251p,225.09062,14.391,Flavanone,C15H12O2,224.08373,,Shaddox Samples - Compound Discoverer,
1892p,225.09879,7.82,7-(b-Hydroxyethyl)theophylline,C9H12N4O3,224.21658,,,
5281929p,225.1485,11.55,METHYL JASMONATE,C13H20O3,224.2961,,,
65124p,227.0662,6.4,3-NITRO-L-TYROSINE,C9H10N2O5,226.1861,,,
439224p,227.11387,0.751,CARNOSINE,C9H14N4O3,226.23246,,,
13711p,228.0979,2.27,DEOXYCYTIDINE,C9H13N3O4,227.21722,,,
,229.15471,7.232,Leu Pro,C11H20N2O3,228.14739,,Shaddox Samples - Compound Discoverer,
C00199,231.02654,0.71,Ribulose 5-Phosphate,C5H11O8P,230.109802,,Maize project,
,231.0991,1.1,Ergothioneine,C9H15N3O2S,,M+H,DBS brain,
10177002p,232.1549,7.31,Isobutyrylcarnitine,C11H21NO4,231.28874,,I.Kurland Mouse samples,
213144p,232.1549,7.41,Butyrylcarnitine,C11H21NO4,231.28874,,I.Kurland Mouse samples,
33037p,233.0268,0.83,D-SACCHARIC ACID,C6H10O8,210.1388,M+Na,,
896p,233.1285,8.92,MELATONIN,C13H16N2O2,232.27834,,,
,235.17253,7.43,O-Butyryl-L-carnitine:HCl,,,,CIL Labeled Carnitine Standards Set B,
3676p,235.181,8.4,Lidocaine,C14H22N2O,234.33728,,I.Kurland Mouse samples,
910p,237.08711,10.738,Formylkynurenine,C11H12N2O4,236.07971,,Shaddox Samples - Compound Discoverer,
IntStd7p,238.11651,7.63,L-Tryptophan 13C11,(*C8H5NH)*CH2*CH(NH2)*COOH,,[M+Na],Cambridge Isotope Project,
,241.031677,0.68,• L-Cystine,C6H12N2O4S2,240.023852,M+H,Found in neat QC,
112072p,241.1295,0.8,L-ANSERINE,C10H16N4O3,240.25904,,,
ISO-13p,244.07916,0.86,N-ACETYL-HEXOSAMINE,C8H15NO6,221.2078,M+Na,,
6175p,244.0928,1.686,CYTIDINE,C9H13N3O5,243.21662,,,
171548p,245.0954,7.36,BIOTIN,C10H16N2O3S,244.31064,,,
916p,245.2336,0.76,N1-ACETYLSPERMINE,C12H28N4O,244.37692,,,
169235p,246.1705,8.1,Isovalerylcarnitine,C12H23NO4,245.31532,,I.Kurland Mouse samples,
6426903p,246.1705,7.95,Valerylcarnitine,C12H23NO4,245.31532,,I.Kurland Mouse samples,
439917p,247.10772,8.495,N-ACETYL-D-TRYPTOPHAN,C13H14N2O3,246.26186,,,
1051p,248.0319,1.92,PYRIDOXAL 5'-PHOSPHATE,C8H10NO6P,247.141862,,,
,248.1498,5.311221,Acyl-Carnitine(4-OH),,,M+H,K. Dave Brain Tissue - LipidMatch,
1053p,249.0643,13.1,Pyridoxamine 5'-phosphate,C8H13N2O5P,248.172982,,Gurley citrus samples; HMDB,
13712p,251.0638,4.54,DEOXYURIDINE,C9H12N2O5,228.20198,M+Na,,
8559p,251.12715,13.724,Dipropyl phthalate,C14H18O4,250.12051,,Duffy archeology samples - Compound Discoverer,
13730p,252.1091,5.81,2'-DEOXYADENOSINE,C10H13N5O3,251.24192,,,
439182p,252.1091,6.14,5'-DEOXYADENOSINE,C10H13N5O3,251.24192,,,
C00199,253.00838,0.71,Ribulose 5-Phosphate,C5H11O8P,230.109802,[M+Na],Maize project,
439167p,253.0084,0.78,D-RIBOSE 5-PHOSPHATE,C5H11O8P,230.109802,M+Na,,
440744p,253.0808,11.2,5-Hydroxy-N-formylkynurenine,C11H12N2O5,252.07462,,Yang - lung cancer cells; HMDB; tentative (no MS/MS confirmation),
,254.18685,10.9,N-BOC-L-tert-Leucine,C11H21NO4,,M+Na,Injection Standard,
,255.2258,8.11,"O-Isovaleryl-L-carnitine (N,N,N-trimethyl-D9)",,,,CIL Labeled Carnitine Standards Set B,
445638p,255.23117,14.23,Palmitoleic acid,C16H30O2,254.22389,,Duffy archeology samples - Compound Discoverer,
,256.07974,8.6,N-BOC-L-Aspartic Acid,C9H15NO6,,[M+Na],Injection Standard,
71920p,258.1094,0.8,Glycerophosphocholine,C8H20NO6P,257.102823,,Yang - lung cancer cells; HMDB,
7784p,259.18988,14.276,Dibutyl adipate,C14H26O4,258.18311,,Duffy archeology samples - Compound Discoverer,
72361p,260.0435,0.74,D-GLUCOSAMINE 6-SULFATE,C6H13NO8S,259.23432,,,
440997p,260.053,0.71,D-GLUCOSAMINE 6-PHOSPHATE,C6H14NO8P,259.151022,,,
ISO-14p,261.037,0.772,HEXOSE-6-PHOSPHATE,C6H13O9P,260.135782,,,
62551p,261.13058,7.032,PEG n5,C10H22O6,238.1414,[M+Na],Shaddox Samples - Compound Discoverer,
,262.1649,6.611894,Acyl-Carnitine(5-OH),,,M+H,K. Dave Brain Tissue - LipidMatch,
6029p,267.05876,2.899,URIDINE,C9H12N2O6,244.20138,M+Na,,
16219421p,267.0604,5.32,GLYCERALDEHYDE 3-PHOSPHATE DIETHYL ACETAL,C7H17O7P,244.179442,M+Na,,
187790p,268.104,6.01,2'-DEOXYGUANOSINE,C10H13N5O4,267.24132,,,
10100p,269.06219,0.985,Homocystine,C8H16N2O4S2,268.05515,,Shaddox Samples - Compound Discoverer,
6021p,269.08805,5.821,INOSINE,C10H12N4O5,268.22608,,,
5360696p,272.20013,15.651,Dextromethorphan,C12H26N5P,271.19294,,Duffy archeology samples - Compound Discoverer,
69131857p,273.18427,14.559,Galaxolidone,C18H24O2,272.17763,,Duffy archeology samples - Compound Discoverer,
3026p,279.15833,14.732,Dibutyl phthalate,C16H22O4,278.15104,,Shaddox Samples - Compound Discoverer,
6782p,279.2319,14.756,Diisobutylphthalate,C16H22O4,278.15181,,Duffy archeology samples - Compound Discoverer,
7784p,281.17184,14.276,Dibutyl adipate,C14H26O4,258.18311,[M+Na],Duffy archeology samples - Compound Discoverer,
27476p,282.1197,6.15,1-METHYLADENOSINE,C11H15N5O4,281.2679,,,
ISO-18p,283.0189,0.76,GLUCOSE/FRUCTOSE-PHOSPHATE,C6H13O9P,260.135782,M+Na,,
6802p,284.09894,5.955,GUANOSINE,C10H13N5O5,283.24072,,,
64959p,285.083,6.01,XANTHOSINE,C10H12N4O6,284.22548,,,
,288.1212,11.49,BOC-D-Phenylalanine,C14H19NO4,,M+Na,Injection Standard,
11953814p,288.2175,10.35,Octanoylcarnitine,C15H29NO4,287.39506,,I.Kurland Mouse samples,
60961p,268.1045,5.8,ADENOSINE,C10H13N5O4,267.24132,M+Na,,
,291.23499,10.38,O-Octanoyl-L-carnitine:HCl(N-methyl-D3),,,,CIL Labeled Carnitine Standards Set B,
6049p,293.098,2.03,EDTA,C10H16N2O8,292.24264,,Rainey plasma samples,
3117p,297.05756,14.062,Disulfiram,C10H20N2S4,296.05093,,Duffy archeology samples - Compound Discoverer,
439176p,298.09684,6.681,5'-METHYLTHIOADENOSINE,C11H15N5O3S,297.3335,,,
91493p,299.0139,0.82,6-PHOSPHOGLUCONIC ACID,C6H13O10P,276.135182,M+Na,,
,300.2905,13.56985,Sphingosine (d18:1),,,M+H,K. Dave Brain Tissue - LipidMatch,
53477823p,302.2325,10.6,"2,6-Dimethylheptanoyl Carnitine",C16H31NO4,301.4216,,,
91486p,302.3054,12.84,SPHINGANINE,C18H39NO2,301.50776,,,
79050p,303.253,13.89,RAC-GLYCEROL 1-MYRISTATE,C17H34O4,302.44946,,,
,304.11612,10.05,BOC-L-Tyrosine,C14H19NO5,,M+Na,Injection Standard,
444899p,305.24667,14.95,Arachadonic acid,C20H32O2,304.24023,,Duffy archeology samples - Compound Discoverer,
53481030p,306.0486,1.16,"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE",C9H12N3O7P,305.181242,,,
65359p,307.0838,3.8,Glutathione Disulfide,C20H32N6O12S2,612.63108,[M+2H]2+,RT old pump?,
,307.1012,8.3,Starch acetate,,,,Kenworthy turf grass samples - HMDB; Metlin,
13945p,308.06421,1.505,2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE,C9H14N3O7P,307.197122,,,
65063p,309.0482,2.06,2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE,C9H13N2O8P,308.181882,,,
439197p,310.11326,0.857,N-ACETYLNEURAMINATE,C11H19NO9,309.26986,,,
6454895p,311.1113,7.6,E-1-O-Cinnamoyl-beta-D-glucose,C15H18O7,310.29922,,Gurley citrus samples; HMDB,
65104p,313.1552,8.9,Phe-Phe,C18H20N2O3,312.363,,I.Kurland Mouse samples,
10245190p,316.2488,11.56,Decanoylcarnitine,C17H33NO4,315.44822,,I.Kurland Mouse samples,
9700p,323.0639,3.74,THYMIDINE 5'-MONOPHOSPHATE,C10H15N2O8P,322.208462,,,
6131p,324.0591,1.12,CMP,C9H14N3O8P,323.196522,,,
6131p,324.0591,1.61,3'-CMP,C9H14N3O8P,323.196522,,,
6030p,325.04314,1.366,URIDINE-5-MONOPHOSPHATE,C9H13N2O9P,324.181282,,,
,325.1268,8.6,Garcinia lactone dibutyl ester,C14H22O7,302.13655,[M+Na],Gurley citrus samples; HMDB,
,327.1321,11.52,N-BOC-L-Tryptophan,C16H20N2O4,,M+Na,Injection Standard,
444899p,327.22864,14.95,Arachadonic acid,C20H32O2,304.24023,[M+Na],Duffy archeology samples - Compound Discoverer,
ISO-19p,330.0598,5.84,ADENOSINE-CYCLIC MONOPHOSPHATE,C10H12N5O6P,329.205942,,,
124886p,330.0736,1.7,Glutathione,C10H17N3O6S,307.32348,[M+Na],RT old pump?,
6777p,331.18961,15.731,Dicyclohexyl phthalate,C20H26O4,330.18221,,Duffy archeology samples - Compound Discoverer,
5282965p,331.24756,13.886,Trihydroxy octadecenoic acid,C18H34O5,330.24073,,Shaddox Samples - Compound Discoverer,
12599p,332.07545,2.752,DAMP,C10H14N5O6P,331.221822,,,
14180p,335.06388,1.169,NICOTINAMIDE MONONUCLEOTIDE,C11H15N2O8P,334.219162,,,
5365371p,338.34338,16.915,Erucamide,C22H43NO,337.33447,,Shaddox Samples - Compound Discoverer,
65110p,339.07,1.58,5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE,C9H15N4O8P,338.21,,,
89272p,343.1532,14.555,Dipropyleneglycol dibenzoate,C20H22O5,342.14672,,Duffy archeology samples - Compound Discoverer,
168381p,344.2795,12.06,LAUROYLCARNITINE,C19H37NO4,343.50138,,,
168381p,344.2801,12.71,Dodecanoylcarnitine,C19H37NO4,343.50138,,I.Kurland Mouse samples,
9700p,345.0458,3.74,THYMIDINE 5'-MONOPHOSPHATE,C10H15N2O8P,322.208462,M+Na,,
1131p,345.0781,0.98,THIAMINE MONOPHOSPHATE,C12H17N4O4PS,344.326542,,,
24316p,346.0547,5.99,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",C10H12N5O7P,345.205342,,,
4485p,347.1242,12.22,Nifedipine,C17H18N2O6,346.33462,,Ring Trial,
5753p,347.2217,9.89,CORTICOSTERONE,C21H30O4,346.4605,,,
53477676p,347.2217,10.11,REICHSTEIN'S SUBSTANCE S,C21H30O4,346.4605,,,
6083p,348.0704,1.77,ADENOSINE 5'-MONOPHOSPHATE,C10H14N5O7P,347.221222,,,
65059p,348.0704,3.42,2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE,C10H14N5O7P,347.221222,,,
8582p,349.05438,2.111,INOSINE 5'-MONOPHOSPHATE,C10H13N4O8P,348.205982,,,
,357.2776,12.3,Chenodeoxycholic Acid (CDCA),C24H40O4,392.572,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,357.2777,12.42,Deoxycholic Acid (DCA),C24H40O4,392.572,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,357.2777,11.55,Ursodeoxycholic Acid (UDCA),C24H40O4,392.572,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
6439582p,357.279,12.4,Tetracosahexaenoic acid,C24H36O2,356.54144,,Ring Trial,
152430p,359.1124,13,"4'-Hydroxy-5,6,7,8-tetramethoxyflavone",C19H18O7,358.105255,,Gurley citrus samples; HMDB,
,359.2932,14.1,Lithocholic Acid (LCA),C24H40O3,376.5726,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
222786p,361.201,9.35,CORTISONE,C21H28O5,360.44402,,,
149096p,362.1503,8.59,Levofloxacin,C18H20FN3O4,361.367503,,Ring Trial,
172313p,362.98527,1.378,"FRUCTOSE 1,6-BIPHOSPHATE",C6H14O12P2,340.115684,M+Na,,
638678p,363.1775,5.82,THYROTROPIN RELEASING HORMONE,C16H22N6O4,362.38368,,,
657311p,363.2166,9.15,CORTISOL,C21H30O5,362.4599,,,
6804p,364.0653,2.12,GUANOSINE 5'-MONOPHOSPHATE,C10H14N5O8P,363.220622,,,
73323p,365.0493,2.43,XANTHOSINE 5'-MONOPHOSPHATE,C10H13N4O9P,364.205382,,,
ISO-20p,365.1054,0.83,HEXOSE-DISACCHARIDE,C12H22O11,,,,
5533p,372.1584,9.97,Trazodone,C19H22ClN5O,371.86388,,Ring Trial,
6426854p,372.3114,13.92,Myristoylcarnitine,C21H41NO4,371.55454,,I.Kurland Mouse samples,
5952p,373.2373,12.41,DEOXYCORTICOSTERONE ACETATE,C23H32O4,372.49778,,,
,373.2722,11.2,Cholic Acid,C24H40O5,408.5714,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,375.2877,12.3,Chenodeoxycholic Acid (CDCA),C24H40O4,392.572,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,375.2883,12.42,Deoxycholic Acid (DCA),C24H40O4,392.572,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,375.2883,11.55,Ursodeoxycholic Acid (UDCA),C24H40O4,392.572,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
5283906p,375.28888,12.438,3-Oxo-5-beta-cholanate,C24H38O3,374.282209,,Shaddox Samples - Compound Discoverer,
493570p,377.1456,7.9,RIBOFLAVIN,C17H20N4O6,376.3639,,,
,381.36633,14.14,"O-Myristol-L-carnitine:HCl(N,N,N-trimethyl-D9)",,,,CIL Labeled Carnitine Standards Set B,
439155p,385.1289,4.83,S-(5'-ADENOSYL)-L-HOMOCYSTEINE,C14H20N6O5S,384.4108,,,
,391.2827,11.2,Cholic Acid,C24H40O5,408.5714,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
8343p,391.28293,16.789,Bis(2-ethylhexyl) phthalate,C24H38O4,390.27585,,Shaddox Samples - Compound Discoverer,
97536p,392.185,8.6,S-HEXYL-GLUTATHIONE,C16H29N3O6S,391.48296,,,
34755p,399.1445,0.91,S-(5'-ADENOSYL)-L-METHIONINE,C15H22N6O5S,398.44,,,
11953816p,400.3427,16.91,Palmitoylcarnitine,C23H45NO4,399.6077,,,
,403.35592,15.73,O-Palmytoyl-L-carnitine:HCl ( N-methyl-D3),,,,CIL Labeled Carnitine Standards Set B,
5744p,405.2272,10.46,CORTISOL 21-ACETATE,C23H32O6,404.49658,,,
,409.2056,6.751545,MGDG (2:0_7:0),,,M+H,Rice Cell Media - LipidMatch,
,414.2986,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,414.2986,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,414.2992,11.35,Chenodeoxycholyglycine (GCDCA),C26H43NO7,449.6233,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
179108p,415.1585,8.3,Ptelatoside A,C19H26O10,414.40374,,Kenworthy turf grass samples - HMDB; Metlin,
73303p,421.1224,11.44,Doripenem,C15H24N4O6S2,420.50426,,Ring Trial,
,426.3197,11.2,Cholic Acid,C24H40O5,408.5714,M+NH4,Bile Acid Standard - verified Metlin/HMDB,
,430.2937,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
221493p,431.2768,10.37,CHOLATE,C24H40O5,408.5714,M+Na,,
,432.3093,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,432.3093,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,432.3099,11.35,Chenodeoxycholyglycine (GCDCA),C26H43NO6,449.6233,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
9305p,433.8745,7.52,"3,5-DIIODO-L-TYROSINE",C9H9I2NO3,432.9816,,,
,440.2498,8.424253,MGDG (7:0_3:0),,,M+NH4,Rice Cell Media - LipidMatch,
,448.3042,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,450.32,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+H,Bile Acid Standard - verified Metlin/HMDB,
,450.3201,11.35,Chenodeoxycholyglycine (GCDCA),C26H43NO5,449.6233,M+H,Bile Acid Standard - verified Metlin/HMDB,
,450.32194,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+H,Bile Acid Standard - verified Metlin/HMDB,
,464.2813,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,464.2816,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,464.2816,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
,466.2971,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,466.3148,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+H,Bile Acid Standard - verified Metlin/HMDB,
10140p,466.3163,9.72,GLYCOCHOLATE,C26H43NO6,465.62272,,,
,472.302,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+Na,Bile Acid Standard - verified Metlin/HMDB,
,472.302,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+Na,Bile Acid Standard - verified Metlin/HMDB,
,480.2769,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,
9547071p,480.309,13.65,LysoPE (18:1),C23H46NO7P,479.587602,,,
,482.2918,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,482.2921,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,482.2921,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,482.3243,14.52113,LysoPE (18:0),,,M+H,K. Dave Brain Tissue - LipidMatch,
,483.34313,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+NH4,Bile Acid Standard - verified Metlin/HMDB,
,484.3076,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+H,Bile Acid Standard - verified Metlin/HMDB,
439763p,484.3091,11.09,TAUROLITHOCHOLATE,C26H45NO5S,483.7042,,,
,488.2965,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+Na,Bile Acid Standard - verified Metlin/HMDB,
13804p,489.1146,0.98,CYTIDINE 5'-DIPHOSPHOCHOLINE,C14H26N4O11P2,488.323964,,,
24779461p,494.3247,12.8,LysoPC (16:1),C24H48NO7P,493.614182,,,
460602p,496.3403,13.5,LysoPC (16:0),C24H50NO7P,495.630062,,,
,498.2869,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,
,500.3023,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+H,Bile Acid Standard - verified Metlin/HMDB,
,500.3023,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+H,Bile Acid Standard - verified Metlin/HMDB,
,500.3024,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+H,Bile Acid Standard - verified Metlin/HMDB,
,501.3341,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+NH4,Bile Acid Standard - verified Metlin/HMDB,
,502.2926,12.89718,LysoPE (20:4),,,M+H,Yang/Moffitt Lung Cancer Cells - LipidMatch,
,504.2618,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+K,Bile Acid Standard - verified Metlin/HMDB,
,504.304,14.52288,LysoPE (18:0),,,M+Na,K. Dave Brain Tissue - LipidMatch,
,506.2897,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+Na,Bile Acid Standard - verified Metlin/HMDB,
,510.279,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+2Na,Bile Acid Standard - verified Metlin/HMDB,
,516.2979,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+H,Bile Acid Standard - verified Metlin/HMDB,
6675p,516.29953,10.08,Taurocholic acid,C26H45NO7S,515.703,,,
,517.3291,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+NH4,Bile Acid Standard - verified Metlin/HMDB,
,517.3291,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+NH4,Bile Acid Standard - verified Metlin/HMDB,
,517.3293,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+NH4,Bile Acid Standard - verified Metlin/HMDB,
,518.3221,13.61097,LysoPC (16:0),,,M+Na,K. Dave Brain Tissue - LipidMatch,
,520.3417,13.01725,LysoPC (18:2),,,M+H,K. Dave Brain Tissue - LipidMatch,
,522.2546,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+K,Bile Acid Standard - verified Metlin/HMDB,
,522.2844,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+Na,Bile Acid Standard - verified Metlin/HMDB,
,522.2844,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+Na,Bile Acid Standard - verified Metlin/HMDB,
,522.3579,13.64035,LysoPC (18:1),,,M+H,K. Dave Brain Tissue - LipidMatch,
,524.3716,14.6,LysoPC (18:0),C26H54NO7P,523.3637896,,,
,524.3731,14.7904,LysoPC (18:0),,,M+H,K. Dave Brain Tissue - LipidMatch,
92859p,525.9007,8.94,"3,5-DIIODO-L-THYRONINE",C15H13I2NO4,525.07696,,,
,526.2927,12.9221,LysoPE (22:6),,,M+H,K. Dave Brain Tissue - LipidMatch,
439242p,527.1583,1.01,D-(+)-RAFFINOSE,C18H32O16,504.43708,M+Na,,
,530.3238,13.54733,LysoPE (22:4),,,M+H,K. Dave Brain Tissue - LipidMatch,
,533.3238,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+NH4,Bile Acid Standard - verified Metlin/HMDB,
,538.2493,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+K,Bile Acid Standard - verified Metlin/HMDB,
,538.2493,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+K,Bile Acid Standard - verified Metlin/HMDB,
,538.2498,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+K,Bile Acid Standard - verified Metlin/HMDB,
,538.2796,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+Na,Bile Acid Standard - verified Metlin/HMDB,
6675p,538.28148,10.08,Taurocholic acid,C26H45NO7S,515.703,[M+Na],,
123847p,542.0681,3.2,Cyclic-ADP Ribose,C15H21N5O13P2,541.300464,,Rice Samples,
,544.339,13.64269,LysoPC (20:4),,,M+H,K. Dave Brain Tissue - LipidMatch,
